type,topic,num_reviews,top_words,positive_count,positive_pct,negative_count,negative_pct,star_5,star_1,example_num,rating,sentiment,review_text
TOPIC,0,10386,"pizza, crust, delivery, beer, toppings, pepperoni, order, cheese",8013,77.2,2373,22.8,6145,978,,,,
EXAMPLE,0,,,,,,,,,1,1,NEGATIVE,I order pizza and it came dried and the crust taste burnt. Never again ordering
EXAMPLE,0,,,,,,,,,2,2,NEGATIVE,"Pizza is always super good when we order. But delivery time is always SO SLOW. I’ve been waiting nearly 2 hours on my recent order and still nothing. I called after the first hour and they said the pizza was done but they were waiting on a driver. But 40 minutes later, still no pizza. It’s probably going to be cold by the time it gets here...
Update: the pizza finally got to my house and the pizza was cold, just as I predicted."
EXAMPLE,0,,,,,,,,,3,5,POSITIVE,The pizzas were FANTASTIC. Service awesome! Very friendly and helpful servers. Great experience
EXAMPLE,0,,,,,,,,,4,5,POSITIVE,"I haven’t had pizza this good since I left the Bronx. Aside from the delicious pizza, the service was phenomenal. I WILL definitely return many times!"
EXAMPLE,0,,,,,,,,,5,3,POSITIVE,make a good Pizza
TOPIC,1,6716,"burger, hamburger, cheeseburger, cold, cheese, bacon, french, best",4939,73.5,1777,26.5,3460,615,,,,
EXAMPLE,1,,,,,,,,,1,1,NEGATIVE,"So second time there and second time 100% disappointed.
Ordered the #9, two cheeseburger combo asked them to supersize it.
Got to the window and paid, thought the price sounded high, looked at the receipt and instead of the comb price and $1-2 supersize price increase.
They charged me for a large, large fry and two individual cheeseburgers, obviously costing quite a bit more . Asked to speak to the manager, explained the issue to her. Her answer as a manager is, if you want large that's how it is. I again explained when you buy a combo you expect a combo price not a la carte pricing.  Got No Where with her, left upset and disappointed.
Month goes buy, got a fixing for a Mc Dees Cheeseburger go in and order #9 again, dont bother to supersize it this time, knowing there is no way to get them to do what they should know how to do !!! Especialy a Manager.
They hand me the food, I drive off, get on the Hwy, start to eat, and what do I get, a half full carton of fries. When you pay Alaska prices, you would expect them to at least fill the 30 cents worth of Fries you pay $3 dollars for !!!!!!! So tired of lack of customer service these days."
EXAMPLE,1,,,,,,,,,2,1,NEGATIVE,"So expensive for each item, buy a hamburg, pay for each: mayo, ketchum, mustard, pickles etc."
EXAMPLE,1,,,,,,,,,3,5,POSITIVE,"Great hamburger,  I was so full."
EXAMPLE,1,,,,,,,,,4,4,POSITIVE,Great place for a good burger.
EXAMPLE,1,,,,,,,,,5,3,NEGATIVE,"Fries were not so good, hot fudge ice cream was good"
TOPIC,2,4425,"staff, friendly, food, nice, helpful, amazing, super, attentive",4143,93.6,282,6.4,3038,49,,,,
EXAMPLE,2,,,,,,,,,1,2,NEGATIVE,"Nice staff so not an issue with them. Problem is the place needs some TLC and the kids play area really needs a clean. The equipment has that grease feel to it and the locked / gates surrounds have old food materials (boxes/straws etc.).
Food was fine but you cant really enjoy it sitting in."
EXAMPLE,2,,,,,,,,,2,1,POSITIVE,Sourdough is the best description of the staff!
EXAMPLE,2,,,,,,,,,3,4,POSITIVE,"Large portions, delicious entrees, friendly staff and reasonable prices."
EXAMPLE,2,,,,,,,,,4,5,POSITIVE,"Excellent food, drinks & service! Everyone on staff we interacted with was wonderful!!"
EXAMPLE,2,,,,,,,,,5,3,NEGATIVE,The food is really good and the staff rocks. But the clientele are kinda rude
TOPIC,3,3827,"place, kids, fun, games, play, tourist, family, love",3282,85.8,545,14.2,2438,197,,,,
EXAMPLE,3,,,,,,,,,1,1,NEGATIVE,They have a long. There are better places.
EXAMPLE,3,,,,,,,,,2,1,NEGATIVE,Got the runs not fun 4 holidays lol
EXAMPLE,3,,,,,,,,,3,5,POSITIVE,"Most excellent,  if you can get there , Go!"
EXAMPLE,3,,,,,,,,,4,5,POSITIVE,Local favorite
EXAMPLE,3,,,,,,,,,5,3,POSITIVE,Good to visit occasionally if you can find one.
TOPIC,4,2944,"beer, selection, tap, local, brewery, ipa, craft, atmosphere",2676,90.9,268,9.1,1861,38,,,,
EXAMPLE,4,,,,,,,,,1,2,NEGATIVE,Extremely poor quality of food comparing to prices. Cold beer was the best product I had in this place. Service though was much better than food.
EXAMPLE,4,,,,,,,,,2,2,NEGATIVE,Service is very slow every time I come here. Also the beer seems a bit more expensive than bars in the area.
EXAMPLE,4,,,,,,,,,3,4,POSITIVE,"Just went for a beer and the place was crazy busy. Beer was good, but it would have been nice to sit down and enjoy it!"
EXAMPLE,4,,,,,,,,,4,5,POSITIVE,"The absolute best place to enjoy a tasty beer, eat a mouthwatering burger, and watch a game!  All served up by the friendliest staff around.  We have chosen the ER Ale house as the venue for our company Christmas party for the last 5 years, and I've enjoyed their entertainment options from small bands to Paint Nite.  You will love this place!"
EXAMPLE,4,,,,,,,,,5,3,NEGATIVE,OK food but the service was slow and inattentive .  Nice view and beer selection.
TOPIC,5,2104,"sushi, roll, sashimi, miso, tempura, fresh, rice, town",1783,84.7,321,15.3,1426,108,,,,
EXAMPLE,5,,,,,,,,,1,2,NEGATIVE,"I had high hopes for this place because of how good the prior restaurant at the location was, but it became one of the worst meals we've had. It merits two stars rather than one only because the decor (apart from the beam not fully attached to the ceiling) was tasteful and the dishware was nice. The food itself was terrible. They brought my husband the wrong order (he hated it), and it turned out to have been a baked version of what he usually orders at other sushi restaurants. When they corrected the order, it was just as unpleasant. The bulgogi I ordered was the worst cut of meat possible. I took it home to clean the grissel out of it, and lost about half of the meal. Most weird, at the end of the meal, both of our hands were inexplicably sticky."
EXAMPLE,5,,,,,,,,,2,2,NEGATIVE,Sushi was super old and not good at all. Other dishes weren't fresh nether. Taste is average.
EXAMPLE,5,,,,,,,,,3,5,POSITIVE,"The atmosphere is excellent and the service is attentive. The food is delicious. I recommend trying the chicken fried rice and the green beef! My date ordered a couple of sushi rolls, which I didn't try because I don't like sushi, but there was plenty more on the menu. He was also very happy with the quality of the food!"
EXAMPLE,5,,,,,,,,,4,5,POSITIVE,"Um. So, delicious sushi and then we get free fried Oreos. Ah-mazing."
EXAMPLE,5,,,,,,,,,5,3,POSITIVE,It's not exceptional but it's not bad. They have a great mix of sushi and Chinese food. I like their super ninja roll and their Mongolian beef.
TOPIC,6,2010,"said, minutes, waitress, told, table, came, manager, didn",176,8.8,1834,91.2,76,1357,,,,
EXAMPLE,6,,,,,,,,,1,1,NEGATIVE,Walk in when its completely empty and asked if they're open and was told to sit anywhere.. Sat down and nobody came for 20 min. We decided to leave and on the way out the waitress had the nerve to say 'Thank you.  Food might be great but the staff sure didn't let us experience it
EXAMPLE,6,,,,,,,,,2,1,NEGATIVE,Eleven of us had 7 pm reservations tonight.  It took  over 1 1/2 hours to get our food.  The server said 1 hour 10 minutes but swear it was longer. Excuse was they had a banquet.  That's not an excuse.  To comensate the manager offered the 11 of us 3 free desserts to share.  What an insult.  Finally talked them up to 5 so couples could share.  The king salmon I ordered was bland.  Three ordered the halibut and said it was tasteless.  I will never eat there again. Had to go out and pay for an extra 2 hours on the parking meter too. They added 18% gratuity.  Didn't get out of there till 10 pm.
EXAMPLE,6,,,,,,,,,3,5,NEGATIVE,"Good food. Waiter should have wrote thing down, he got 1 of the three dinners wrong. Manager took care of us though even after telling her is wasn't necessary. Been there a few times before and haven't had this problem but also haven't had this particular waiter before either."
EXAMPLE,6,,,,,,,,,4,4,NEGATIVE,Waiters sort of forgot we were there for 20 mins
EXAMPLE,6,,,,,,,,,5,3,POSITIVE,"First and foremost, I was a little surprised that my server... at a Cajun/creole restaurant... didn’t know what Absinthe was... especially considering it is in fact an ingredient in one of their drinks.

I agree with some of the other reviews in that my server seemed stressed... perhaps due to covid... but I also felt she was maybe a little annoyed or disinterested in providing better service to my partner and I as we only ordered drinks and appetizers.

But the real annoyance came after the second and third times someone tried to take our plates before we were finished eating. Like literally mid bite, THREE TIMES, someone tried to take our plates away. Sort of felt like they were trying to rush us out of there.

The ambiance of the place is eclectic and fun, and food was pretty good, and I will likely go back... but I think the staff needs a little tune up. But then again, I know it’s weird times so I’m willing to grant a bit of grace."
TOPIC,7,1987,"fairbanks, best, restaurant, favorite, place, visiting, places, eat",1771,89.1,216,10.9,1429,77,,,,
EXAMPLE,7,,,,,,,,,1,1,NEGATIVE,Don’t waste your time ordering from this place. They have not one but two delivery drivers that can’t find Pike’s Waterfront Lodge in Fairbanks.  90 minutes later they have cancelled my order with no notification.  Will not make this mistake again.
